!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
Surf Champ|Unknown Manufacturer|Unknown|1|EM|Sports - Water Sports - Happiness - Recreation - Surfing - Swimming
Surf Club|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Surf Queens|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Surf Rider|Williams Manufacturing Company|May 14, 1956|4|EM|Sports - Water Sports - Happiness - Recreation - Surfing
Surf Side|D. Gottlieb &amp; Company|December, 1967|2|EM|Nautical - Sailing - Swimming - Water Sports - Happiness
Surfer|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Sports - Water Sports - Happiness - Recreation - Surfing - Swimming
Surfer|D. Gottlieb &amp; Company|October 18, 1976|2|EM|Sports - Water Sports - Happiness - Recreation - Surfing - Swimming
Surfers|Bally Manufacturing Corporation|1967|1|EM|Water Sports - Happiness
Surfers|Bally Manufacturing Corporation|December, 1967|1|EM|Water Sports - Happiness
Surfing|Sega Enterprises, Ltd.|1972|1|EM|Beach - Boating - Happiness - Surfing - Swimming - Water - Women
Suspense|Williams Electronics, Incorporated|May 14, 1969|2|EM|Unknown
Suspense|Bally Manufacturing Corporation|November, 1938|1|EM|Unknown
Suspense|Williams Manufacturing Company|February 01, 1946|1|EM|Trapeze Artists
Swanee|Exhibit Supply Company|January, 1949|1|EM|Recreation - Riverboats
Swashbuckler|Recel S. A.|1979|1|SS|Historical Characters
Swat King|V. P. Distributing Company|1944|1|EM|Unknown
Sweepstakes|Williams Manufacturing Company|February, 1952|2|EM|Sports - Horse Racing
Sweet 21|Chicago Coin Machine Manufacturing Company|November 03, 1936|1|EM|Unknown
Sweet Add-A-Line|D. Gottlieb &amp; Company|July, 1955|1|EM|Beach - Music - Singing - Water
Sweet Hearts|D. Gottlieb &amp; Company|September, 1963|1|EM|Playing Cards
Sweet Sioux|D. Gottlieb &amp; Company|August 15, 1959|4|EM|Native Americans
Sweet Sioux|Alben|1959|2|EM|Native Americans
Sweet Sue|T and M Sales Company|December, 1948|1|EM|Beach - Happiness - Swimming - Water - Women
Sweetheart|Houston Showcase and Manufacturing Company|February, 1933|1|ME|Unknown
Sweetheart|Williams Manufacturing Company|May 02, 1950|1|EM|Girls - Romance - Women
Sweetheart Double|Houston Showcase and Manufacturing Company|February, 1933|2|ME|Unknown
Sweethearts|Glickman Company|March, 1942|1|EM|Unknown
Swing|Chicago Coin Machine Manufacturing Company|March 28, 1938|1|EM|Unknown
Swing Time|Genco Manufacturing Company|January, 1937|1|EM|Happiness - Dancing
Swing Time|Williams Electronic Manufacturing Company|May 20, 1963|1|EM|Dancing - Happiness
Swing-Along|D. Gottlieb &amp; Company|July, 1963|2|EM|Music - Dancing
Swinger|Williams Electronics, Incorporated|December 12, 1972|2|EM|Unknown
Swords of Fury|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|June, 1988|4|SS|Fantasy - Knights - Wizard/Magic - Medieval
Synchro|Pacific Amusement Manufacturing Company|February, 1935|1|ME|Unknown
System|Chicago Coin Machine Manufacturing Company|May 02, 1936|1|EM|Unknown
T-N-T|Rock-ola Manufacturing Corporation|August, 1935|1|EM|Unknown
T.K.O.|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|March, 1979|1|EM|Sports - Boxing
T.N.T.|Allied Leisure Industries, Incorporated|February, 1976|4|Unknown|Music – Singing - Dancing
T.V. Pin Game|Chicago Coin Machine Manufacturing Company|1974|4|Unknown|Unknown
Tackle|Stoner Manufacturing Company|January, 1936|1|EM|Sports - Football
Tag-Team Pinball|NSM Lions|1986|4|SS|Unknown
Tag-Team Pinball|Premier Technology|September, 1985|4|SS|Wrestling
Tagada|Unknown Manufacturer|Unknown|2|ME|Unknown
Tahiti|Jack Rogers|1961|2|EM|Unknown
Tahiti|Maquinas Recreativas Sociedad Anonima|own|Unknown|EM|Happiness - Women - World Places
Tahiti|Chicago Coin Machine Manufacturing Company|October, 1949|1|EM|World Places - Water - Happiness - Girls - Women
Tahiti|Bally Manufacturing Corporation|Unknown|1|EM|World Places
Tahiti|United Manufacturing Company|August, 1953|1|EM|Unknown
Tahiti|Bally Manufacturing Corporation|1979|1|EM|World Places
Tail Gunner|Victory Games|November, 1944|1|EM|Aviation - Combat - Military - Historical - Wartime - Warfare - World War II
Tailspin|Bingo Novelty Manufacturing Company|February, 1933|1|ME|Unknown
Take A Card|Mondialmatic|1979|1|EM|Playing Cards
Take Five|Allied Leisure Industries, Incorporated|April, 1978|2|SS|Recreation
Tales from the Crypt|Data East Pinball, Incorporated|November 04, 1993|4|SS|Licensed Theme - Comic Book - Horror
Tales of the Arabian Nights|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|May, 1996|4|SS|Unknown
Tally|California Exhibit Company|September, 1935|1|EM|Unknown
Tally Ho|Exhibit Supply Company|November, 1947|1|EM|Sports - Hunting
Tally Hoo!!|Peyper|Unknown|1|EM|Sports - Fox Hunting
Tally Roll|Firestone Enterprises, Inc.|July, 1946|1|EM|Unknown
Tally-Ho|Genco Manufacturing Company|Unknown|1|EM|Sports - Fox Hunting
Tam-Tam|Playmatic|1975|1|EM|Unknown
Tampico|United Manufacturing Company|June, 1949|1|EM|World Places
Tanforan|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Tanga|Europlay|1975|1|EM|Unknown
Tango|H. C. Evans &amp; Company|December, 1935|1|EM|Unknown
Taps|The Harry Hoppe Corporation|May, 1939|1|EM|Unknown
Target|Beverator Company|April, 1935|1|EM|Military - World War I
Target Alpha|D. Gottlieb &amp; Company|November, 1976|4|EM|Outer Space Fantasy
Target Gallery|Midway Manufacturing Company|1962|2|EM|Unknown
Target Gallery|Midway Manufacturing Company|1962|1|EM|Carnival - Shooting Gallery
Target Pool|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Billiards
Target Pool|D. Gottlieb &amp; Company|June, 1969|1|EM|Billiards
Target Roll|Bally Manufacturing Corporation|Unknown|1|EM|Gambling - Craps
Target Skill|Baker Novelty and Manufacturing Company|May, 1941|1|EM|Sports - Target Practice
Targets|Bally Manufacturing Corporation|Unknown|2|EM|Sports - Target Practice - Carnival
Tasty Samba|Industria (Electromecánica) de Recreativos S.A|1977|4|EM|Music - Dancing
Tasty Samba|Industria (Electromecánica) de Recreativos S.A|1977|1|EM|Music - Dancing
Taxi|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|August, 1988|4|SS|Automobiles - Transportation
Teacher's Pet|Williams Electronic Manufacturing Company|December 16, 1965|1|EM|Happiness - School
Team One|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|March 02, 1977|1|EM|Unknown
Teaser|Bally Manufacturing Corporation|February, 1936|1|EM|Unknown
Teaser|Brunswick Manufacturing Company|September, 1932|1|ME|Unknown
Tee'd Off|Premier Technology|May, 1993|4|SS|Sports - Golf
Teenage Mutant Ninja Turtles|Data East Pinball, Incorporated|May, 1991|4|SS|Unknown
Teezer|Star Machine Manufacturing, Incorporated|June, 1933|1|ME|Unknown
Telecard|D. Gottlieb &amp; Company|January 17, 1949|1|EM|Unknown
Tempo Tempo|T.H. Bergmann &amp; Company|1952|1|EM|Horse Racing
Temptation|Chicago Coin Machine Manufacturing Company|November 01, 1948|1|EM|Recreation - Swimming - Water Skiing
Temptation|Sega Enterprises, Ltd.|1976|1|SS|Happiness - Dancing
Ten Grand|Mills Novelty Company|November, 1935|1|EM|Unknown
Ten Little Indians|D. Gottlieb &amp; Company|July, 1950|1|EM|Unknown
Ten Pin|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Ten Spot|Williams Electronic Manufacturing Company|June 23, 1961|1|EM|Beatniks - Jazz - Music - Poetry Jam
Ten Stars|Zaccaria|1976|1|EM|Outer Space - Fantasy
Ten Strike|Williams Manufacturing Company|January, 1958|2|EM|Sports - Bowling
Ten Strike|J. H. Keeney and Company Incorporated|February, 1937|1|EM|Sports - Bowling
Ten Up|Zaccaria|1975|4|EM|Unknown
Ten-Spot|Genco Manufacturing Company|May, 1941|1|EM|Unknown
Ten-Up|D. Gottlieb &amp; Company|August, 1973|1|EM|Sports - Bowling
Tenis|Talleres del Llobregat S.A. [Automaticos]|own|Unknown|Unknown|Unknown
Tennessee|Williams Manufacturing Company|February 28, 1948|1|EM|American Places - Women
Terminator 2: Judgment Day|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|July, 1991|4|SS|Celebrities - Fictional - Licensed Theme
Terminator 3: Rise of the Machines|Stern Pinball, Incorporated|June, 2003|4|SS|Fictional - Licensed Theme
Terrific Lake|Sport Matic, S.A.|1987|4|SS|Horror
TEX-OP|Unknown Manufacturer|Unknown|1|EM|Sports - Bowling
Texan|Alben|1960|2|EM|American West
Texan|D. Gottlieb &amp; Company|April, 1960|4|EM|American West
Texan|Alben|1960|4|EM|American West
Texas|Show Games|own|Unknown|Unknown|Unknown
Texas|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Western
Texas Leaguer|J. H. Keeney and Company Incorporated|March, 1941|1|EM|Sports - Baseball
Texas Mustang|D. Gottlieb &amp; Company|October, 1941|1|EM|Western
Texas Ranger|D. Gottlieb &amp; Company|January, 1972|1|EM|American West - Law Enforcement
The 100 Yards|E. M. Marchant|1952|1|EM|Sports - Track and Field
The 30' Years|Renato Montanari Giochi|Unknown|1|EM|American History
The 30's|Playmatic|April 25, 1977|1|EM|American History - Cards/Gambling
The 4 Horsemen|D. Gottlieb &amp; Company|September, 1950|1|EM|Sports - Football
The Ace|Unknown Manufacturer|Unknown|2|ME|Unknown
The Addams Family|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|March, 1992|4|SS|Celebrities - Fictional - Licensed Theme
The Addams Family Special Collectors Edition|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|October, 1994|4|SS|Celebrities - Fictional - Licensed Theme
The Advance Pin Table|Unknown Manufacturer|Unknown|1|ME|Unknown
The All-American Baseball Game|Amusement Machine Corporation, Ltd.|1931|1|EM|Sports - Baseball
The Amazing Spider-Man|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|May, 1980|4|SS|Celebrities - Fictional - Licensed Theme
The Arrow|W. N. Manufacturing Company|May, 1932|1|ME|Unknown
The Atarians|Atari, Incorporated|November, 1976|4|SS|Adventure
The Avengers (Limited Edition)|Stern Pinball, Incorporated|2012|4|SS|Comics - Fantasy - Licensed Theme
The Avengers (Premium)|Stern Pinball, Incorporated|2013|4|SS|Comics - Fantasy - Licensed Theme
The Avengers (Pro)|Stern Pinball, Incorporated|2012|4|SS|Comics - Fantasy - Licensed Theme
The Avengers Hulk (Limited Edition)|Stern Pinball, Incorporated|2012|4|SS|Comics - Fantasy - Licensed Theme
The Ball Fan|Stoner Manufacturing Company|June, 1935|1|EM|Sports - Baseball
The Bally Game Show|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|April, 1990|4|SS|Comedy - Game Show - TV
The Baron|D. Robbins and Company|August, 1933|1|ME|Unknown
The Best Corsair|Europlay|1976|1|EM|Adventure - Pirates
The Best Jump|Mondialmatic|1979|1|Unknown|Unknown
The Best Space Time|Skillgame d.b.a. Renato Montanari Giochi|Unknown|1|EM|Outer Space
The Best Texas Ranger|Skillgame d.b.a. Renato Montanari Giochi|Unknown|1|EM|American West - Law Enforcement
The Best Wizard|Skillgame d.b.a. Renato Montanari Giochi|1972|1|EM|Unknown
The Brain|Stern Pinball, Incorporated|2006|4|SS|Human Physiology - Medical
The Card|Unknown Manufacturer|1977|1|EM|Playing Cards
The Cedar Ball|Field Manufacturing Corporation|October, 1931|1|ME|Unknown
The Champ|D. Gottlieb &amp; Company|August, 1940|1|EM|Sports - Boxing
The Champion Pub|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|April, 1998|4|SS|Unknown
The Chutes|Premier Technology|Unknown|4|SS|Olympic Sports
The Circus Tiger|Unknown Manufacturer|Unknown|1|EM|Circus
The Cricket|Arlington Sales Company|July 02, 1932|1|ME|Unknown
The Crocodile Hunter Outback Adventure|The Pinball Factory|own|Unknown|SS|Licensed Theme - Adventure
The Death Dealing Adventures of Maxx Badazz Champion Kickboxer|Alvin G. and Company|own|Unknown|SS|Sports - Kickboxing
The Derby|Mechanical Manufacturing Company|May, 1932|1|ME|Unknown
The Diamond|United Specialty Company|December, 1933|1|ME|Baseball
The Empire Strikes Back|A. Hankin &amp; Company|June, 1980|4|SS|Licensed Theme
The Entertainer|Fascination Int., Incorporated|September, 1977|2|SS|Celebrities
The Fiery 30's|Recel S. A.|1974|4|EM|Cops and Robbers
The Flea|Arlington Sales Company|July, 1932|1|ME|Unknown
The Flintstones|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|July, 1994|4|SS|Cartoon - Licensed Theme
The Flintstones|Innovative Concepts in Entertainment, Inc.|1994|1|SS|Cartoons
The Flipper Game|Recel S. A.|June, 1980|4|SS|Sports - Pinball
The Fonz Pinball|Coleco Industries, Inc.|1977|1|EM|TV Show
The French Connection||Unknown|4|SS|Unknown
The Games|Mylstar Electronics, Incorporated|August, 1984|4|SS|Sports - Olympic Games
The Games|NSM Lions|June, 1985|4|SS|Sports - Olympic Games
The Games I|Mylstar Electronics, Incorporated|Unknown|4|SS|Sports - Olympic Competition
The Getaway: High Speed II|American Home Entertainment, a division of Azrak-Hamway International, Inc.|own|Unknown|SS|Cops and Robbers
The Getaway: High Speed II|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|February 02, 1992|4|SS|Cops - Driving - Police - Speeding
The Godfather|Proyectos Electromecánicos de Tanteo y Color|Unknown|4|EM|Unknown
The Godfather|Recel S. A.|own|Unknown|EM|Unknown
The Greyhound Twins|Standard Amusement Company|Unknown|2|Unknown|Dog Racing
The Happy Musketeers|Jacques Martina|1970|4|EM|Adventure - Fictional Characters
The Hellacopters||Unknown|1|EM|Music - People
The Hunter|Bell Coin Matics|1980|4|SS|Unknown
The Ideal Pin Table|Unknown Manufacturer|Unknown|1|ME|Unknown
The Incredible Hulk|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|4|SS|Celebrities - Fictional - Licensed Theme
The Incredible Hulk|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|October, 1979|4|SS|Celebrities - Fictional - Licensed Theme
The Joy Game|Hercules Novelty Company, Incorporated|February, 1932|1|ME|Playing Cards
The Jungle|Unknown Manufacturer|Unknown|4|EM|Jungle - Fantasy
The King|Bell Coin Matics|1978|4|SS|Celebrities - Licensed
The King|Alben|1959|4|EM|Unknown
The Lord of the Rings|Stern Pinball, Incorporated|December, 2003|4|SS|Fantasy - Licensed Theme
The Lord of the Rings (Limited Edition)|Stern Pinball, Incorporated|December, 2009|4|SS|Fantasy - Licensed Theme
The Lost World Jurassic Park|Sega Pinball, Incorporated|June 06, 1997|6|SS|Dinosaurs/Movies - Licensed Theme
The Machine: Bride of Pin·bot|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|February, 1991|4|SS|Fantasy - Outer Space
The Maple Leaf|Automatic Industries, Ltd.|Unknown|1|ME|Unknown
The Marble Prince|Lundick Mfg., Inc.|February, 1932|1|ME|Unknown
The McCoy|Mills Novelty Company|June, 1936|1|EM|Unknown
The Midget|E. E. Junior Manufacturing Company|May, 1932|1|ME|Unknown
The Mystery Six|Rube Gross &amp; Company|October, 1934|1|ME|Unknown
The New Champ|D. Gottlieb &amp; Company|September, 1941|1|EM|Sports - Boxing
The New Deal|Field Manufacturing Corporation|April, 1933|1|ME|Unknown
The New Hi-Lite|Western Equipment &amp; Supply Company|Unknown|1|EM|Unknown
The Party Zone|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|August, 1991|4|SS|Happiness
The Pennant|Bally Manufacturing Corporation|December, 1933|1|ME|Sports - Football
The Perfect Skittle-Alley|Advance Automatic Machine and Device Company|Unknown|1|ME|Sports - Bowling - Skittles
The Pilot|National Pin Games Manufacturing Company|November, 1932|1|ME|Aircraft - Airplanes - Airports - Aviation - Flying
The Pinball Circus|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|June, 1994|4|SS|Circus - Carnival
The Pitcher's Battle|R.G. Kollmorgen|1935|1|ME|Sports - Baseball
The President|Bally Manufacturing Corporation|February, 1933|1|ME|Unknown
The Raid|Playmatic|1984|4|SS|Aviation - Combat - Warfare - Spaceships - Aliens
The Rambler|Rich Toys, Rich Manufacturing Company|Unknown|1|ME|Unknown
The Red Max|Bally Manufacturing Corporation|Unknown|1|EM|Aviation
The Rex|Unknown Manufacturer|Unknown|1|ME|Unknown
The Rolling Stones|Stern Pinball, Incorporated|2011|4|SS|Licensed Theme - Music
The Rolling Stones (Limited Edition)|Stern Pinball, Incorporated|2011|4|SS|Licensed Theme - Music
The Shadow|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|November, 1994|4|SS|Celebrities - Fictional - Licensed Theme
The Shark|A.M.I|1976|1|EM|Sharks - Scuba Diving - Swimming - Water
The Simpsons|Data East Pinball, Incorporated|September, 1990|4|SS|Celebrities - Fictional - Licensed Theme
The Simpsons Pinball Party|Stern Pinball, Incorporated|February 14, 2003|4|SS|Licensed Theme - Comic
The Six Million Dollar Man|Bally Manufacturing Corporation|October, 1978|6|SS|Celebrities - Fictional - Licensed Theme
The Skipper|King Products Company|May, 1934|1|EM|Unknown
The Sopranos®|Stern Pinball, Incorporated|February, 2005|4|SS|Licensed Theme - Mobsters
The Tango Game|Atlas Indicator Works Incorporated|February, 1932|1|ME|Playing Cards
The Three Musketeers|Rally a.k.a. Rally Play Company|1964|2|EM|Adventure - Fictional Characters
The Tierce|Alben|1964|2|EM|Sports - Horse Racing
The Time of Your Life|Bally Manufacturing Corporation|August, 1948|1|EM|Music - Dancing
The Twist|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
The Walkaway|Standard Amusement Company|Unknown|2|ME|Unknown
The Walking Dead (Pro)|Stern Pinball, Incorporated|September, 2014|4|SS|Licensed Theme - Supernatural - Zombies
The Who's Tommy Pinball Wizard|Data East Pinball, Incorporated|January 08, 1994|4|SS|Celebrities - Fictional - Licensed Theme - Musical
The Wiggle|E. E. Junior Manufacturing Company|February, 1932|1|ME|Unknown
The Wiggler|Bally Manufacturing Corporation|August, 1967|4|EM|Fantasy
The Winner|Western Equipment &amp; Supply Company|April, 1937|1|EM|Sports - Horse Racing
The Wizard of Oz|Jersey Jack Pinball, Inc.|April, 2013|4|SS|Fantasy - Licensed Theme - Wizard/Magic
The World Series|Sankyo Precision Equipment Company, Ltd.|Unknown|1|EM|Sports - Baseball
The X Files|Sega Pinball, Incorporated|September 09, 1997|6|SS|Aliens - Conspiracy - Supernatural - Licensed
Theatre of Magic|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|March 28, 1995|4|SS|Show Business - Magic
They're Off|Exhibit Supply Company|July, 1935|1|EM|Unknown
Thing|Chicago Coin Machine Manufacturing Company|February, 1951|1|EM|Unknown
Third World|Segasa d.b.a. Sonic|1978|4|Unknown|Unknown
Thistledowns|Bally Manufacturing Corporation|October, 1938|1|EM|Sports - Horse Racing
Thoro-Bred|D. Gottlieb &amp; Company|February, 1965|2|EM|Sports - Fox Hunting - Horses
Thorobreds|Victory Sales Company|1946|1|EM|Unknown
Three Aces|Costruzioni Elettroniche Automatiche|1979|4|SS|Unknown
Three Deuces|Williams Manufacturing Company|May 25, 1955|1|EM|Playing Cards
Three Feathers|Genco Manufacturing Company|May, 1949|1|EM|Girls - Women
Three Musketeers|D. Gottlieb &amp; Company|July, 1949|1|EM|Adventure - Fictional Characters
Three Point|Chicago Vending Company|April, 1934|1|ME|Unknown
Three Score|D. Gottlieb &amp; Company|August, 1940|1|EM|Unknown
Three Star Special|Pacific Amusement Manufacturing Company|March, 1937|1|EM|Unknown
Three Up|Stoner Manufacturing Company|June, 1941|1|EM|Unknown
Three Up|Rock-ola Manufacturing Corporation|March, 1938|1|EM|Unknown
Thrill|Chicago Coin Machine Manufacturing Company|September 01, 1948|1|EM|Amusement Park
Thriller|J. H. Keeney and Company Incorporated|September, 1939|1|EM|Sports - Motorcycles - Velodrome Racing
Thriller|The Ad-Lee Company, Incorporated|September, 1932|1|ME|Unknown
Thriller|Chicago Coin Machine Manufacturing Company|June 26, 1936|1|EM|Unknown
Thrills|Unknown Manufacturer|Unknown|1|EM|Ecdysiast Entertainment
Thumbs Up|Arco Sales Co.|May, 1942|1|EM|Wartime - Patriotic
Thunder Man|Apple Time|1987|4|SS|Adventure - Fictional
Thunderball|Williams Electronics, Incorporated|May, 1982|2|SS|Fantasy
Thunderbird|Williams Manufacturing Company|January 29, 1954|1|EM|Native Americans
Thunderbolt|Allied Leisure Industries, Incorporated|May, 1976|4|SS|Fantasy
Thunderbolt|Bally Manufacturing Corporation|September, 1938|1|EM|Unknown
Tic &amp; Toc|Europlay|1974|1|EM|Billiards
Tic-Tac-Toe|Williams Electronic Manufacturing Company|January 10, 1959|1|EM|Beach - Tic-Tac-Toe
Tick 'a' Lite|Stoner Manufacturing Company|April, 1935|1|EM|Sports - Horse Racing
Ticker|Pacific Amusement Manufacturing Company|October, 1934|1|EM|Unknown
Ticker|Bally Manufacturing Corporation|May, 1933|1|ME|Business
Ticker Tape|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Ticket Tac Toe|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|March, 1996|1|SS|Children's Games
Tidal Wave|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|4|SS|Unknown
Tie Score|Scientific Machine Corporation|May, 1936|1|EM|Unknown
Tiger|D. Gottlieb &amp; Company|August, 1975|1|EM|Circus
Tiger Rag|Bell Games|1984|4|SS|Hunting - World Places
Tiger Woman|I.D.I.|Unknown|4|SS|Girls - Women - Fantasy
Tigers|Chicago Coin Machine Manufacturing Company|January, 1939|1|EM|Sports - Baseball
Tim-Buc-Tu|Williams Manufacturing Company|January, 1956|1|EM|Unknown
Time|Pacific Amusement Manufacturing Company|February, 1935|1|EM|Unknown
Time 2000|Atari, Incorporated|June, 1977|4|SS|Fantasy
Time Fantasy|Williams Electronics, Incorporated|March, 1983|4|SS|Fantasy
Time Line|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|December, 1980|4|SS|Adventure - Fantasy
Time Machine|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|4|SS|Fantasy
Time Machine|Zaccaria|April, 1983|4|SS|Adventure - Fantasy - Time Travel
Time Machine|Data East Pinball, Incorporated|December, 1988|4|SS|Unknown
Time Out|Ripepi|Unknown|1|EM|Psychedelic
Time Out|V. P. Distributing Company|1944|1|EM|Unknown
Time Tunnel|Bally Manufacturing Corporation|Unknown|4|EM|TV Show - Fantasy - Time Travel
Time Warp|Williams Electronics, Incorporated|September, 1979|4|SS|Mythology - World History
Time Zone|Bally Manufacturing Corporation|May, 1973|2|EM|Outer Space
Times Square|Williams Manufacturing Company|April 08, 1953|1|EM|American Places
Times Square|Chicago Coin Machine Manufacturing Company|February 22, 1935|1|EM|Unknown
Timothy T.|Costruzioni Elettroniche Automatiche|Unknown|1|EM|Sports - Horse Racing
Timothy T.|Costruzioni Elettroniche Automatiche|1977|4|SS|Sports - Horse Racing
Ting-A-Ling|Ting-A-Ling Mfg. Co.|1932|1|Unknown|Unknown
Tiny|Western Equipment &amp; Supply Company|December, 1935|1|EM|Unknown
Tip-Top|Genco Manufacturing Company|January, 1933|1|ME|Unknown
Tire le Bibi|Malaise Bury|Unknown|1|ME|Unknown
Tiro's|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Amusement Park
Tit For Tat|Chicago Coin Machine Manufacturing Company|July 01, 1935|1|EM|Tic-Tac-Toe
Titan|Fipermatic Indústria Comércio Importação e Exportação Ltda|Unknown|4|SS|Fantasy
Titan|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|4|SS|Unknown
Titan|Taito do Brasil, a division of Taito, Japan|Unknown|4|SS|Fantasy
Titan Bingo|SIRMO Games S.A.|Unknown|1|SS|Unknown
Title Fight|Premier Technology|October, 1990|4|SS|Boxing
Tivoli|D. Gottlieb &amp; Company|July, 1968|1|EM|Carnival - Shooting Gallery
Tivoli JR.|American Sales Corporation|February, 1933|1|ME|Unknown
Toledo|Williams Electronics, Incorporated|December, 1975|2|EM|World Places
Tom Tom|Williams Electronic Manufacturing Company|January 03, 1963|2|EM|Native Americans
Tom Tom|P &amp; S Machine Company|Unknown|1|EM|Unknown
Tommy|Unknown Manufacturer|Unknown|1|EM|Unknown
Top 'Em|Western Equipment &amp; Supply Company|October, 1936|1|EM|Cards/Gambling
Top Card|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Playing Cards
Top Card|D. Gottlieb &amp; Company|August, 1974|1|EM|Cards/Gambling
Top Flight|Dudley-Clark Company|February, 1935|1|EM|Unknown
Top Hand|D. Gottlieb &amp; Company|May, 1973|1|EM|Playing Cards
Top Hand|LORI|Unknown|1|EM|Playing Cards
Top Hand|Williams Electronic Manufacturing Company|April 26, 1966|1|EM|American West - Cards/Gambling
Top Hand|Renato Montanari Giochi|1973|1|EM|Unknown
Top Hand|Zaccaria|Unknown|1|EM|Playing Cards
Top Hat|Williams Manufacturing Company|February 20, 1958|2|EM|Unknown
Top Hat|Stoner Manufacturing Company|January, 1936|1|EM|Unknown
Top Hit|Midway Manufacturing Company|1964|2|EM|Sports - Baseball
Top It|A.B.T. Manufacturing Company|January, 1936|1|EM|Unknown
Top Notcher|Bally Manufacturing Corporation|1941|1|EM|Unknown
Top Pin|Nuova Bell Games|1988|4|SS|Unknown
Top Racer|Recel S. A.|1976|1|EM|Sports - Auto Racing
Top Row|Exhibit Supply Company|June, 1936|1|EM|Equestrian - Horses - Steeplechasing
Top Score|D. Gottlieb &amp; Company|October, 1975|2|EM|Sports - Bowling
Top Secret|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Robots
Top Sound|MM Computer Games|1988|4|SS|Celebrities - Music
Top Speed|Recel S. A.|December, 1975|4|EM|Sports - Auto Racing
Top Ten|Chicago Coin Machine Manufacturing Company|March 21, 1975|2|EM|Music - Singing
Topaz|Industria (Electromecánica) de Recreativos S.A|1979|4|SS|Outer Space - Fantasy - Girls - Women
Topic|Bally Manufacturing Corporation|November, 1941|1|EM|Unknown
Topper|Chicago Coin Machine Manufacturing Company|April 24, 1939|1|EM|Dancing - Girls - Pageantry - Women
Topper|Chicago Coin Machine Manufacturing Company|April 19, 1939|1|EM|Dancing - Girls - Pageantry - Women
Tops|Exhibit Supply Company|October, 1937|1|EM|Unknown
Topsy Turvy|O. D. Jennings and Company|May, 1935|1|EM|Unknown
Torch|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|February, 1980|4|SS|Sports - Olympic Games - Olympics
Torchy|Williams Manufacturing Company|June 18, 1947|1|EM|Music - Singing - Girls - Women
Toreador|D. Gottlieb &amp; Company|June, 1956|2|EM|Adventure - Foreign Peoples
Tornado|Williams Manufacturing Company|April 08, 1947|1|EM|Adventure
Torneo|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|SS|Jousting - Medieval Battle
Torneo|Recel S. A.|1978|1|Unknown|Jousting - Medieval Battle
Toro|Rally a.k.a. Rally Play Company|1963|2|EM|Bullfighting
Torpedo|O. D. Jennings and Company|February, 1936|1|EM|Adventure - Combat
Torpedo|Dudley-Clark Company|September, 1934|1|EM|Naval Warfare
Torpedo|J. H. Keeney and Company Incorporated|February, 1936|1|EM|Adventure - Combat
Torpedo|Proyectos Electromecánicos de Tanteo y Color|1976|1|EM|Adventure - Combat
Torpedo|Rube Gross &amp; Company|September, 1934|1|EM|Unknown
