!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
Aztec|Williams Electronics, Incorporated|July, 1976|4|EM|Historical
Aztec|Williams Electronics, Incorporated|November, 1976|4|SS|Historical
B-Skilful|Unknown Manufacturer|Unknown|1|ME|Unknown
Baby Billard|Unknown Manufacturer|Unknown|1|ME|Unknown
Baby Doll|Segasa|1975|1|EM|Music - Singing
Baby Face|United Manufacturing Company|December, 1948|1|EM|Girls - Women
Baby Grand Pin Game|A. M. Walzer Company|May, 1932|1|ME|Unknown
Baby Grand Roulette|A. M. Walzer Company|May, 1932|1|ME|Unknown
Baby In The Hole|Data East Pinball, Incorporated|1989|1|SS|Unknown
Baby Leland|Chicago Coin Machine Manufacturing Company|December, 1933|1|ME|Unknown
Baby Lite-A-Line|Pacific Amusement Manufacturing Company|March, 1935|1|EM|Unknown
Baby Pac-Man|Bally Manufacturing Corporation|October, 1982|2|SS|Unknown
Baby Sharpshooter|Game Plan, Incorporated|own|Unknown|SS|Carnival - Target Practice
Baby Whiffle|Automatic Industries, Incorporated|January, 1932|1|ME|Unknown
Back to the Future|Data East Pinball, Incorporated|June, 1990|4|SS|Licensed-Movie
Back-Shot|Lindstrom Tool and Toy Company|own|Unknown|ME|Unknown
Bad Cats|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|November, 1989|4|SS|Feline Mischief
Bad Girls|Premier Technology|November, 1988|4|SS|Billiards
Badger Horseshoe|Klode Shops|June, 1932|1|ME|Unknown
Baffle Ball|D. Gottlieb &amp; Company|November, 1931|1|ME|Unknown
Baffle Ball||1931|1|ME|Sports - Basketball
Baffle Ball|Keeney and Sons|November, 1931|1|ME|Unknown
Baffle Ball Home Game|D. Gottlieb &amp; Company|December, 1931|2|ME|Unknown
Baffle Ball Jr. Home Game||own|Unknown|Unknown|Unknown
Baffle Ball Sr.|D. Gottlieb &amp; Company|January, 1932|1|ME|Unknown
Baffle Ball Sr. Home Game||own|Unknown|ME|Unknown
